Issues,Description,Total,National,Labour,Green,New Zealand First
Environmental Regulation (Yes vs No),Should the government increase environmental regulations on businesses to reduce carbon emissions?,72,59,88,81,67
Plastic Product Ban (Yes vs No),Should disposable products (such as plastic cups and cutlery) that contain less than 50% of biodegradable material be banned?,73,67,78,84,74
Water Tax (Yes vs No),Should businesses be taxed for the water they use?,57,0,0,0,0
1080 Ban (Yes vs No),Should the government ban the use of 1080?,47,0,0,0,0
Genetically Modified Foods (Yes vs No),Do you support the use of genetically engineered crops and foods?,52,58,45,40,35
Fracking (Yes vs No),Do you support the use of hydraulic fracking to extract oil and natural gas resources?,30,47,16,1,25
