Issues,Description,Total,National,Labour,Green,New Zealand First
Mandatory Vaccinations (Yes vs No),Should the government require children to be vaccinated for preventable diseases?,77,84,77,74,75
Nuclear Energy (Yes vs No),Do you support the use of nuclear energy?,31,41,18,21,30
