Issues,Description,Total,National,Labour,Green,New Zealand First
Abortion (Pro-life vs Pro-choice),What is your stance on abortion?,18,19,14,19,25
Gay Marriage (Yes vs No),Do you support the legalisation of same sex marriage?,81,73,90,83,62
Euthanasia (Yes vs No),Should terminally ill patients be allowed to end their lives via assisted suicide?,82,81,84,82,80
LGBT Adoption Rights (Yes vs No),Should gay couples have the same adoption rights as straight couples?,76,66,88,80,48
Death Penalty (Yes vs No),Should the death penalty be reinstated?,39,47,28,38,61
Gender Workplace Diversity (Yes vs No),Should businesses be required to have women on their board of directors?,35,21,51,45,27
Women In Combat (Yes vs No),Should the military allow women to serve in combat roles?,94,93,97,94,85
Parental Leave (Yes vs No),Should parental leave payments increase based on the mother's wage?,48,42,57,46,0
Niqāb (Yes vs No),Should women be allowed to wear a Niqāb or face veil to civic ceremonies?,70,58,81,73,34
